customer_tweet_id,customer_text,customer_created_at,support_tweet_id,support_text,support_created_at
9848,@AppleSupport hey my i on my keyboard isn't working and i just updated my phone to the latest IOS,Wed Nov 01 00:09:52 +0000 2017,9846,@117811 Thank you for reaching out. May we ask which apps you're seeing the keyboard issue with?,Wed Nov 01 00:17:29 +0000 2017
10669,"@AppleSupport /2...2 docs did open, duplicated themselves, now none open after I closed them.",Wed Nov 01 01:28:36 +0000 2017,10672,@117959 Please send us a DM and we will go from there. https://t.co/GDrqU22YpT,Wed Nov 01 01:46:00 +0000 2017
11100,"@AppleSupport It’s only done it with Apple Music and Apple Podcast, regardless if saved to phone or streaming",Wed Nov 01 02:14:21 +0000 2017,11103,@118095 We want to help further! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,Wed Nov 01 02:21:28 +0000 2017
11133,@AppleSupport I received an error message. And another when I tried to set it up again in settings,Wed Nov 01 00:48:15 +0000 2017,11135,"@118105 Let's give the steps in this article a try, and keep us posted on the results please: https://t.co/xqiXha6yeB",Wed Nov 01 01:06:00 +0000 2017
12588,"Wow great work @115858 !!! Love the new features on the 7+ (glitching, apps quitting, long pauses on Snapchat) awesome, sweet keep it up",Wed Nov 01 01:27:24 +0000 2017,12587,@118514 May we take a look?  Feel free to DM us what iOS version you're on and we'll go from there: https://t.co/GDrqU22YpT,Wed Nov 01 01:36:56 +0000 2017
12599,@115858 @AppleSupport APPLE WHY IS MY “I️’s” coming out as question marked boxes &amp; pounds ?! Fix it jeezus,Wed Nov 01 01:26:08 +0000 2017,12597,@118517 Hi. We are here to help. What version of iOS do you have?,Wed Nov 01 01:34:00 +0000 2017
13951,@AppleSupport HELP EVERYTIME I️ TYPE I️ ONLY SYMBOLS COME UP I️ WANT TO BE ABLE TO TALK ABOUT MYSELF,Wed Nov 01 01:57:58 +0000 2017,13950,@118933 We know it's important to have your device working correctly. We'd like to help. Let's meet in DM. https://t.co/GDrqU22YpT,Wed Nov 01 02:20:00 +0000 2017
14317,"@AppleSupport Just deleted and reinstalled the app, but it doesn’t make any difference",Wed Nov 01 02:31:10 +0000 2017,14316,@119048 You did a great job going through those steps. DM us here to contiue further:,Wed Nov 01 02:39:00 +0000 2017
14862,@AppleSupport my phone was acting up. I then restarted it and now all it does is stay on the apple logo when I turn it on. Wtf,Wed Nov 01 02:44:02 +0000 2017,14860,@119216 We’ve got your back. Let us know if the steps in this article help with your iPhone: https://t.co/8MvHMFZ83h,Wed Nov 01 02:54:30 +0000 2017
15315,"4 hrs w/iOS 11.1, no change in battery consumption @AppleSupport. Thanks anyway. Can we have iOS 10 back @115858?",Wed Nov 01 02:53:50 +0000 2017,15314,@119362 We're sorry to hear you're still having problems. Please DM us and we'll go from there. https://t.co/GDrqU22YpT,Wed Nov 01 03:09:03 +0000 2017
15721,@AppleSupport Okay.,Wed Nov 01 03:30:28 +0000 2017,15723,@119461 We've received your DM and will continue there.,Wed Nov 01 12:24:04 +0000 2017
22990,@AppleSupport This is the sound iOS 11.1.2 https://t.co/DnBzTBBg88,Sun Nov 26 00:45:22 +0000 2017,22992,@121004 Thanks for that video. Let's look deeper into this with you. DM us what country you are in and we'll continue from there. https://t.co/GDrqU22YpT,Sun Nov 26 00:54:27 +0000 2017
23139,@AppleSupport Thank you,Wed Nov 22 16:48:39 +0000 2017,23140,@121039 You're most welcome. Enjoy your day!,Wed Nov 22 17:03:35 +0000 2017
26698,"It’s an important letter, @115858. Fix it.",Wed Nov 08 21:16:41 +0000 2017,26697,@121847 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Wed Nov 08 23:32:27 +0000 2017
26718,Hey @115858 is this covered under warrantee? Gonna take 40 minutes for a tech to see it at the AppleStore near me. https://t.co/ttBsLJJbQa,Wed Nov 08 22:37:18 +0000 2017,26717,@121851 Are you currently in an Apple Store? Let's meet up in DM to discuss our options.,Wed Nov 08 22:52:54 +0000 2017
26720,"@115858 the glitch problem happens with the letters O, U, and K too 🤔 https://t.co/0LsQuPwc5c",Wed Nov 08 21:07:27 +0000 2017,26719,@121852 We'd like to help out. DM us and we'll go from there. https://t.co/GDrqU22YpT,Wed Nov 08 23:32:00 +0000 2017
31455,"Hi @AppleSupport after upgrading to iOS 11.1 this control center dunno where to stay - up, middle and down.  Now in the upper section. ios11 https://t.co/pK9efWapng",Wed Nov 01 03:22:21 +0000 2017,31452,"@122938 Hey, we'd love to help with your AssistiveTouch. Let's try a standard restart, here's how: https://t.co/OWRDHWSt4h",Wed Nov 01 12:20:00 +0000 2017
31915,"Hey @115858 can you stop focusing on adding more emojis in updates, and start focusing on how to fix my phone’s battery?",Wed Nov 01 03:47:58 +0000 2017,31914,@123054 Battery life is surely important to us &amp; we'll do all we can to help. Which iPhone model &amp; what iOS version is installed?,Wed Nov 01 12:35:28 +0000 2017
32364,Why is my BRAND NEW iPhone 7 already glitching @115858 ??🙃 I hate you guys,Wed Nov 01 06:19:27 +0000 2017,32362,@123169 We're here to help. What specific issues are you experiencing with your device?,Wed Nov 01 12:57:41 +0000 2017
32395,"Dear @115858, what you've done to my iPhone 6 w/ IOS 11 should be a crime. Thanks 4 updating 2 useless. Makes me want 2 cancel my X pre-order",Wed Nov 01 04:59:44 +0000 2017,32394,@123179 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,Wed Nov 01 12:53:42 +0000 2017
13956,"@118935 @115858 @AppleSupport @118936 Eu tbm, ja redefini varias vezes a senha e nada, mas ai o suporte me mandou um link e eu marquei hj para alguém da apple me ligar e ajudar.",Wed Nov 01 08:17:59 +0000 2017,33326,"@118837  Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",Wed Nov 01 13:12:57 +0000 2017
33338,@AppleSupport the weird symbol thing when I️ type happens to me,Wed Nov 01 07:25:32 +0000 2017,33336,@123369 You've come to the right place for help. What type of device are you using? Let us know via DM. https://t.co/GDrqU22YpT,Wed Nov 01 13:11:36 +0000 2017
33353,#iOS11.1 is taking iPhones into consistent boot loops !! It remains for a couple of hours boot looping over and over then it gets back on again. This happened since the betas. I thought it's a bug but even now with the official 11.1 it happened. @AppleSupport @115858 https://t.co/Q5vk9E0I0W,Wed Nov 01 07:50:28 +0000 2017,33352,@123375 Let's get this resolved. Are you still experiencing this issue? Reply in DM to get started. https://t.co/GDrqU22YpT,Wed Nov 01 13:09:00 +0000 2017
33398,Update failed continuously please help @115858 #apple #appleindia https://t.co/1GXRcPyYkX,Thu Oct 26 11:21:41 +0000 2017,33399,@123386 Having your device up to date is important. Let's get together in DM and we'll get to the bottom of what's happening here. https://t.co/GDrqU22YpT,Thu Oct 26 14:11:00 +0000 2017
34620,"When searching fot ""GOT"" Apple TV app shows Cmore but not @1561 Nordic, even tho I only have HBO installed. @AppleSupport",Wed Nov 01 09:27:07 +0000 2017,34619,@123503 Let's get you in touch with our Apple TV experts so they can assist further. Reach out here: https://t.co/IBIY3vMgPj,Wed Nov 01 13:26:00 +0000 2017
34664,@AppleSupport Hi Apple Support. Have updated to the latest iOS but no luck with battery :(,Wed Nov 01 08:11:57 +0000 2017,34663,@123517 DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,Wed Nov 01 13:20:34 +0000 2017
34666,@AppleSupport Thank you! I’m on 11.0.1,Tue Oct 31 18:26:23 +0000 2017,34665,"@123517 You're very welcome. The first step to resolving this issue, would be to update the iOS 11.1. https://t.co/80YRnjDFDk",Tue Oct 31 18:41:32 +0000 2017
34684,"@AppleSupport Iphone 6S, IOS 11.0.3",Wed Nov 01 13:20:13 +0000 2017,34686,@123521 Can you tell us a bit more about what's going on with your TouchID?,Wed Nov 01 13:41:58 +0000 2017
34694,@115858 can y’all update the iMovie app. Keeps crashing on me,Wed Nov 01 07:55:47 +0000 2017,34693,@123524 Our Apple Apps team would be best equipped to help with this. You can reach out to them here:  https://t.co/IBIY3vMgPj,Wed Nov 01 13:16:26 +0000 2017
35247,"@AppleSupport @115858 guys, I miss Steve. What the hell is this? https://t.co/Tv5HmkrUrb",Wed Nov 01 10:13:13 +0000 2017,35246,"@123679 We're here to help. To start, what device model and software version are you currently using?",Wed Nov 01 13:39:42 +0000 2017
35268,"@AppleSupport iPhone 7 and I updated to the newest ios but the phone started crashing and the screen freezing, also powering off",Wed Nov 01 09:16:26 +0000 2017,35266,@123686 We'd like to help out with this. Join us in DM so that we can gather more details about your device. https://t.co/GDrqU22YpT,Wed Nov 01 13:38:25 +0000 2017
35297,"@AppleSupport Thanks for the prompt reply. Scary error, seemingly unrelated to the actual issue: I think a bit of Disk Utility love will get me there.",Wed Nov 01 14:02:43 +0000 2017,35299,@123692 OK. Feel free to send us a DM if you still have questions.,Wed Nov 01 14:06:58 +0000 2017
35335,@AppleSupport Series 3 LTE,Wed Nov 01 13:46:58 +0000 2017,35337,@123703 Which iPhone and iOS version are you using on the paired iPhone?,Wed Nov 01 13:53:26 +0000 2017
36032,@applesupport Upgraded to #macOS #HighSierra - noticed that my iMessages/SMS are coming in out of order. Appear fine on my iPhone. Thoughts?,Wed Nov 01 13:45:35 +0000 2017,36030,"@123831 Let's work together to find the best solution. To clarify, have you tried quitting the Messages app and restarting?",Wed Nov 01 13:54:30 +0000 2017
36039,I go to send one text and my phone battery went from 56% to 38% ??? @AppleSupport . It has also dropped to 32% while typing this tweet.,Wed Nov 01 13:27:05 +0000 2017,36038,@123832 Glad to help. Let us know what iOS is running there let's have a closer look at things.,Wed Nov 01 13:54:00 +0000 2017
36119,@AppleSupport You too!,Wed Nov 01 15:19:56 +0000 2017,36120,@123856 Thank you!,Wed Nov 01 15:56:06 +0000 2017
36125,@AppleSupport Yes to the point where I cannot even reset my phone or use the home button. It completely freezes or stutters. And my phone is brand new.,Wed Nov 01 14:14:16 +0000 2017,36127,@123859 Alright. What is the current iOS version installed in Settings &gt; General &gt; About? Have you updated all of your apps as well? https://t.co/GDrqU22YpT,Wed Nov 01 15:13:27 +0000 2017
36672,"@AppleSupport my frnds iphn6 got hanged
Plz help",Wed Nov 01 13:56:42 +0000 2017,36671,@123994 Let's start with a restart: https://t.co/iE95lxiuIy DM us if the issue continues. https://t.co/GDrqU22YpT,Wed Nov 01 14:00:00 +0000 2017
36100,@123370 @AppleSupport I’m having the same issue has anyone helped?,Wed Nov 01 13:53:32 +0000 2017,36673,@123995 We're happy to help. Which iOS version is installed? Let us know in DM and we'll go from there. https://t.co/GDrqU22YpT,Wed Nov 01 13:59:33 +0000 2017
38209,@AppleSupport And when is the summer free is going to be released?,Wed Nov 01 10:57:31 +0000 2017,38208,@124299 We’re also excited for the iPhone X! You can find out more information about available models here: https://t.co/yl9mQrnFWP,Wed Nov 01 14:39:31 +0000 2017
38241,@AppleSupport 15 days later and it still hasn’t turned up. Any thoughts?,Wed Nov 15 06:55:59 +0000 2017,38242,@124308 We're happy to take a look and figure this out for you. Join us in DM with your iOS version and watchOS version. https://t.co/GDrqU22YpT,Wed Nov 15 14:23:25 +0000 2017
38240,@AppleSupport Any reason why my Apple Watch October challenge suddenly disappeared yesterday? I completed it but it never filled in.,Wed Nov 01 10:35:57 +0000 2017,38238,@124308 Thanks for reaching out.  Awards appear 9 days later.  This article explains Activity Achievements:  https://t.co/xwf6lrqFb9,Wed Nov 01 14:34:29 +0000 2017
38248,@AppleSupport yesterday I purchased iPhone 6. Trying to connect to PC for copy songs but it’s not recognizing. Please help.,Wed Nov 01 10:38:57 +0000 2017,38247,@124311 Let's work on this together. Which version of Windows are you using? DM the answer below. https://t.co/GDrqU22YpT,Wed Nov 01 14:33:32 +0000 2017
38251,God damn you @115858 my phone isn’t ringing out loud after the recent iOS upgrade and I’m losing business!  #pleasefix,Wed Nov 01 10:53:10 +0000 2017,38249,@124312 We'd like to help you! Are you experiencing sound issues with any apps besides the Phone app?,Wed Nov 01 14:31:37 +0000 2017
38256,@AppleSupport it had 60% before the error.,Tue Oct 31 18:59:28 +0000 2017,38255,@121933 That is good to know. Let's still give it about 20 minutes or so. Please do keep us in the loop.,Tue Oct 31 19:13:05 +0000 2017
38870,@115858 @AppleSupport My iPad 2 has locked. Wrote to the M.D. and he did sod all. Gonna buy android from now. Suggest you all do the same,Wed Nov 01 11:01:43 +0000 2017,38868,@124482 We'd like to help you out if we can. What do you mean your iPad 2 has locked? Are you getting an error message?,Wed Nov 01 14:54:00 +0000 2017
39598,@AppleSupport @115858 Case id is 100335493202,Wed Nov 01 14:36:50 +0000 2017,39597,"@124658 Let's look into this together. Send us a DM, and we'll continue with you there. https://t.co/GDrqU22YpT",Wed Nov 01 15:13:27 +0000 2017
39689,@124691 @124300 @AppleSupport Mine is too I just thought something was wrong with my phone because it keeps doing weird shit all the time now,Wed Nov 01 12:01:13 +0000 2017,39688,@124690 Thanks for reaching out. DM the specific issue you are seeing with your iPhone to get started. https://t.co/GDrqU22YpT,Wed Nov 01 14:59:32 +0000 2017
40455,@AppleSupport Still my phone is like in headphone but nothing is plugged in  and I did restart again and still,Wed Nov 01 16:32:14 +0000 2017,40456,"@124866 So that we can take a deeper look, feel free to DM us what country you're located in: https://t.co/GDrqU22YpT",Wed Nov 01 17:11:00 +0000 2017
40463,"#iOS @AppleSupport 
Suggested features:
•Add VPN &amp; GPS to Control Center
•Widgets functioning without opening the App itself",Wed Nov 01 14:57:04 +0000 2017,40462,@124869 Be sure to leave thoughts and ideas like these at our Feedback website. You can find it here: https://t.co/oWzjJxkvlC,Wed Nov 01 15:26:00 +0000 2017
40498,@124888 @115858 @AppleSupport is there an official fix for the 11.0.3 battery issue? 😰😭😓,Wed Nov 01 14:44:35 +0000 2017,40491,"@124882 If you're having issues with your iPhone battery life, we'd like to help. Update to iOS 11.1 &amp; let us know if that persists after.",Wed Nov 01 15:22:50 +0000 2017
31433,@AppleSupport Jk its still not working I turned my auto correct off now.,Wed Nov 01 14:51:36 +0000 2017,40520,"@122932 If you'd like us to help further with this issue, just send us a DM, and we'll work on it with you. https://t.co/GDrqU22YpT",Wed Nov 01 15:22:25 +0000 2017
41599,@115858 Thank you for making me learn the hard way. Removed all my financial info from my profile so I can't be robbed again.,Wed Nov 01 12:51:01 +0000 2017,41598,"@125149 We'll point you in the right direction. For billing questions, connect with iTunes Store Support here: https://t.co/SDIe7UiyJN",Wed Nov 01 15:39:00 +0000 2017
41614,@AppleSupport what’s up with when I️ type “I️” some A and ? Comes up https://t.co/VAlXUjkxCY,Wed Nov 01 15:01:44 +0000 2017,41613,@125153 Let's take a look together. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,Wed Nov 01 15:38:01 +0000 2017
41647,@AppleSupport please tell me my iphone is freezing every 10 minutes since the new update I’m having to restart it constantly 😡😡😡,Wed Nov 01 12:23:41 +0000 2017,41646,@125163 We can help! Which iPhone are you experiencing this on? Reply in DM to get started https://t.co/GDrqU22YpT,Wed Nov 01 15:37:00 +0000 2017
41686,Odd that my #iphone has been acting crazy just when the #iPhoneX comes out. I haven’t had any issues than all of a sudden....@115858 #hmm 📱🤔,Wed Nov 01 14:56:36 +0000 2017,41684,@125176 What type of issue are you having with your iPhone?  We are standing by to assist.,Wed Nov 01 15:31:54 +0000 2017
42601,@AppleSupport when are u releasing fix for #iOS #1103 ? it sucks,Wed Nov 01 13:13:45 +0000 2017,42599,@125413 Hi. We've released an update to 11.1. Please use these steps to update: https://t.co/80YRnjVguS https://t.co/GDrqU2kzhr,Wed Nov 01 15:56:39 +0000 2017
42613,"@AppleSupport Yes, still the same result. It just won't go to sleep. Closing the lid doesn't do anything.",Thu Nov 02 11:53:31 +0000 2017,42615,@125417 DM your location and we'll take it from there. https://t.co/GDrqU22YpT,Thu Nov 02 15:07:29 +0000 2017
42634,@AppleSupport I have restored the iPhone but the problem continues,Wed Nov 01 15:55:09 +0000 2017,42637,@125423 Thanks. DM us the steps you took to restore your iPhone so we can continue helping. https://t.co/GDrqU22YpT,Wed Nov 01 16:22:00 +0000 2017
42644,@AppleSupport Hello I have iPhone 5s which since 11.0.3 update is constantly saying storage full even though its not! Please help! Thank you,Wed Nov 01 12:50:19 +0000 2017,42642,@125426 We’d like to help with this. Is this notification for iCloud storage or the storage for your iPhone?,Wed Nov 01 15:48:00 +0000 2017
43330,@115858 @AppleSupport Please fix your Podcast app! 🤬 #iOS11,Wed Nov 01 15:42:36 +0000 2017,43328,@125604 We can help with your Podcasts! Are you getting any error messages? What happens when you use the Podcast app?,Wed Nov 01 16:10:00 +0000 2017
43336,"@AppleSupport No, this has not helped it is still randomly shutting down.",Tue Nov 07 03:43:26 +0000 2017,43337,@125605 Send us a DM and we'll take a closer look together. https://t.co/GDrqU22YpT,Tue Nov 07 13:17:26 +0000 2017
43358,"locked out of my apple ID bcuz my old phone broke &amp; i had 2 factor authentication on , no one should ever use tht shit @115858",Wed Nov 01 15:50:50 +0000 2017,43357,@125610 Here's a great article to help you get back into your Apple ID: https://t.co/nXAGZj0EE7,Wed Nov 01 16:09:00 +0000 2017
43370,"why is my iphone (6s, recent update) showing symbols and stuff as i️ type when autocorrect is on? @AppleSupport",Wed Nov 01 15:43:54 +0000 2017,43368,"@125615 We're glad to help. To start, what version of iOS are you running? Find that in Settings &gt; General &gt; About.",Wed Nov 01 16:04:31 +0000 2017
43373,"Phone out of warrantee by 15 days, broken due to a hardware fault and no responsibility taken by @115858 @AppleSupport",Wed Nov 01 15:41:18 +0000 2017,43372,@125616 Hello. We'll be glad to check into your options. Please meet us in a DM and share a few details. https://t.co/GDrqU22YpT,Wed Nov 01 16:04:29 +0000 2017
46574,"@AppleSupport hello, my iPhone X order says it’s “prepearing to ship” since saturday and it still hasnt changed it’s status.. what happened?",Wed Nov 01 16:16:49 +0000 2017,46573,"@126346 Thanks for reaching out. Send us a DM, and let us know which country you're located in. https://t.co/GDrqU22YpT",Wed Nov 01 16:58:01 +0000 2017
47998,@AppleSupport @126731 I️ am also having this problem! And I’ve contacted Apple support and neither rep seemed to have a clue how to fix it!,Wed Nov 01 16:26:45 +0000 2017,47997,"@126730 We'd like to see what we can do to assist. We received your DM, and we'll be following up with you there shortly.",Wed Nov 01 17:13:34 +0000 2017
48007,"After that update my phone keeps pocked dialling, is it just me who has this? @115858 https://t.co/LRI6Amxl9F",Wed Nov 01 16:27:51 +0000 2017,48006,@126734 We'd be happy to look into this with you.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,Wed Nov 01 17:10:30 +0000 2017
50038,@115858 my haptics on my iPhone8 will stop working a lot of times. Is that a software issue thats being worked on or should I go exchange it,Wed Nov 01 17:06:23 +0000 2017,50037,@127201 We'd be happy to help. Send us a DM with a few details. https://t.co/GDrqU22YpT,Wed Nov 01 17:41:00 +0000 2017
50040,@115858 fix this I️ !!!!,Wed Nov 01 16:52:21 +0000 2017,50039,@127202 We're here for you. Which version of the iOS are you running? Check by tapping Settings &gt; General &gt; About.,Wed Nov 01 17:40:30 +0000 2017
50078,Why tf every time I️ type I️ it come out looking stupid with boxes and it always changes to I.T. I’m annoyed @115858,Wed Nov 01 16:52:16 +0000 2017,50077,@127215 We’re glad you reached out! Let us help with your device. DM us your exact iOS version to proceed. https://t.co/GDrqU22YpT,Wed Nov 01 17:31:00 +0000 2017
50089,"Can't update iPhone software, restarted phone and reconnected internet still not working @AppleSupport https://t.co/FpCg3Qr5i2",Wed Nov 01 16:54:23 +0000 2017,50088,@127218 Let's look into this together. Which model of iPhone are you using? Here's a great guide to help: https://t.co/Ui1yTnOCUz,Wed Nov 01 17:30:01 +0000 2017
50588,@AppleSupport Having some battery issues. Any way to check it?,Wed Nov 22 22:34:34 +0000 2017,50587,@127348 Hey there! This is certainly not the experience we want you to have. You're in great hands for support. Let's look into this together. Please DM us which Apple device you're using. We look forward to speaking with you soon. https://t.co/GDrqU22YpT,Wed Nov 22 22:41:29 +0000 2017
50590,@AppleSupport I sent you all a message WITH screenshots!,Wed Nov 22 22:25:15 +0000 2017,50589,@127349 Thank you for reaching out. We received your DM and will continue to work with you there.,Wed Nov 22 22:37:26 +0000 2017
50813,@AppleSupport It’s working again thx👍,Wed Nov 01 18:57:32 +0000 2017,50815,@127403 Excellent! We're glad to hear that. You're most welcome! Enjoy the rest of your day.,Wed Nov 01 19:38:27 +0000 2017
50828,@AppleSupport I-pad air 1,Wed Nov 01 19:14:11 +0000 2017,50830,@127407 We've received your DM and will continue to work with you there.,Wed Nov 01 19:35:30 +0000 2017
50870,@AppleSupport That’s correct and also skipping to the next song 🤔,Wed Nov 01 18:10:31 +0000 2017,50872,"@127420 Does this occur when the screen is locked, unlocked, or both? Also, which type of iPhone do you have? https://t.co/GDrqU22YpT",Wed Nov 01 18:32:36 +0000 2017
50871,Getting a glitch on iOS 11.1 where my home button is functioning as media keys for playback on music. This is annoying. (cc:@115858),Wed Nov 01 17:19:30 +0000 2017,50869,"@127420 We're here for you. To be sure we understand, it sounds like pressing Home button is playing and pausing music. Is that right?",Wed Nov 01 17:48:00 +0000 2017
51632,@AppleSupport Yes I'm.,Wed Nov 01 20:50:01 +0000 2017,51634,@127592 Thanks. Let's move to a DM and we'll look into this further. Please tap here to continue: https://t.co/GDrqU22YpT,Wed Nov 01 21:37:00 +0000 2017
51647,"@AppleSupport 
Bluetooth connectivity issues after updating iOS",Wed Nov 01 17:47:04 +0000 2017,51646,@127596 We want to help.  Are you updated to iOS 11.1?  What are you experiencing with Bluetooth?,Wed Nov 01 18:12:01 +0000 2017
51650,HOW DO I️ FIX THIS SOMEONE HELP @AppleSupport https://t.co/oNbzVJsSdw,Wed Nov 01 17:39:16 +0000 2017,51648,@127597 Let's dive into this issue together. Which iOS version is your device currently running?,Wed Nov 01 18:11:33 +0000 2017
52309,@AppleSupport 11.1,Thu Nov 02 05:08:41 +0000 2017,52311,"@127766 Go ahead and DM us your country, and we'll continue working there. https://t.co/GDrqU22YpT",Thu Nov 02 13:18:26 +0000 2017
53569,@AppleSupport @115858 @2310 wouldn't it be a crazy thing if your phones didn't periodically erase all the contacts on it? Crazy. I know,Wed Nov 01 18:36:13 +0000 2017,53568,@128107 We understand how important contacts are. Are they being synced from a specific account? DM us here: https://t.co/GDrqU22YpT,Wed Nov 01 18:55:01 +0000 2017
53571,@AppleSupport The newest update,Wed Nov 01 20:19:24 +0000 2017,53573,@128108 Got it. Let's move to DM and check a few other things together. Tap here to continue: https://t.co/GDrqU22YpT,Wed Nov 01 21:11:00 +0000 2017
53582,@AppleSupport Hi. I cannot reset the security questions after I logged in my account. What to do? :/,Wed Nov 01 18:30:30 +0000 2017,53580,"@128111  We want to help with your Apple ID. If you forgot the answers to your Apple ID security questions:
https://t.co/qaNMuN8ar1",Wed Nov 01 18:54:28 +0000 2017
54438,WTF IS WRONG WITH MY IPHONE @115858 ??!!,Wed Nov 01 18:52:15 +0000 2017,54437,@128323 We're here to help. Let us know exactly what's going on with your phone in DM. https://t.co/GDrqU22YpT,Wed Nov 01 19:14:00 +0000 2017
55946,"@AppleSupport Hi there, yes I have tried but still does this loading sign",Fri Nov 03 13:13:05 +0000 2017,55947,"@128689 Do you also have this app running on your iPhone? If yes, try quitting it and reinstalling it there as well.",Fri Nov 03 18:53:29 +0000 2017
56954,@AppleSupport what’s up with the question mark? https://t.co/7NCCWo9Z89,Wed Nov 01 19:21:28 +0000 2017,56952,@128898 Which version of iOS do you have installed on your device? Look at Settings &gt; General &gt; About. We'd be happy to help.,Wed Nov 01 19:55:59 +0000 2017
56976,@AppleSupport 11.0.3,Wed Nov 01 21:11:10 +0000 2017,56979,"@128905 
We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT",Wed Nov 01 21:53:34 +0000 2017
56991,@115858 are y’all gone fix this i button? Why is it showing up as a question mark in a box https://t.co/Dm1y4IvVE2,Wed Nov 01 19:16:09 +0000 2017,56990,@128909 We'd like to help. Could you Direct Message us and let us know what country you're located in?,Wed Nov 01 19:46:31 +0000 2017
